Group.1,Year,Month,Day,Hours,Precipitation,Temperature,Outflow,sin_day,Three_Day_Flow,Two_Week_Flow,Month_Flow,Season_Flow,Precip_Times_Temperature,Temperature_Times_Day,Precip_Times_Temperature_Times_Day,cos_day,Date
10/1/1980,1980,10,1,0.48,0,86.7665,4.75,0.841470985,0,0,0,0,0,73.0114922,0,0.540302306,10/1/1980
10/2/1980,1980,10,2,0.48,0,88.841,4,0.909297427,0,0,0,0,0,80.7828927,0,-0.416146837,10/2/1980
10/3/1980,1980,10,3,0.48,0,88.21025,4,0.141120008,0,0,0,0,0,12.44823119,0,-0.989992497,10/3/1980
10/4/1980,1980,10,4,0.48,0,88.27475,3.833333333,-0.756802495,0,0,0,0,0,-66.80655107,0,-0.653643621,10/4/1980
10/5/1980,1980,10,5,0.48,0,81.97175,3,-0.958924275,0,0,0,0,0,-78.60470091,0,0.283662185,10/5/1980
10/6/1980,1980,10,6,0.48,0,78.0605,3,-0.279415498,0,0,0,0,0,-21.8113135,0,0.960170287,10/6/1980
10/7/1980,1980,10,7,0.48,0,78.6035,3,0.656986599,0,0,0,0,0,51.64144611,0,0.753902254,10/7/1980
10/8/1980,1980,10,8,0.48,0,80.9555,3,0.989358247,0,0,0,0,0,80.09399153,0,-0.145500034,10/8/1980
10/9/1980,1980,10,9,0.48,0,80.74925,3,0.412118485,0,0,0,0,0,33.27825859,0,-0.911130262,10/9/1980
10/10/1980,1980,10,10,0.48,0,74.2925,3,-0.544021111,0,0,0,0,0,-40.41668838,0,-0.839071529,10/10/1980
10/11/1980,1980,10,11,0.48,0,68.03975,3,-0.999990207,0,0,0,0,0,-68.03908366,0,0.004425698,10/11/1980
10/12/1980,1980,10,12,0.48,0.000119751,67.64075,3,-0.536572918,0.00178628,0.00178628,0,0,0.007425078,-36.2941946,-0.003984096,0.843853959,10/12/1980
10/13/1980,1980,10,13,0.48,0,63.6905,3,0.420167037,0.002874015,0.002874015,0,0,0,26.76064866,0,0.907446781,10/13/1980
10/14/1980,1980,10,14,0.48,0,59.07725,3,0.990607356,0.002874015,0.002874015,0,0,0,58.5223584,0,0.136737218,10/14/1980
10/15/1980,1980,10,15,0.48,0,60.14525,3,0.65028784,0.001087735,0.002874015,0,0,0,39.11172472,0,-0.759687913,10/15/1980
10/16/1980,1980,10,16,0.48,0,58.19975,3,-0.287903317,0,0.002874015,0,0,0,-16.75590105,0,-0.95765948,10/16/1980
10/17/1980,1980,10,17,0.48,0,62.07575,3,-0.961397492,0,0.002874015,0,0,0,-59.67947036,0,-0.275163338,10/17/1980
10/18/1980,1980,10,18,0.48,0,61.24025,2.583333333,-0.750987247,0,0.002874015,0,0,0,-45.99064674,0,0.660316708,10/18/1980
10/19/1980,1980,10,19,0.48,0,64.41575,2,0.14987721,0,0.001087735,0,0,0,9.654452868,0,0.988704618,10/19/1980
10/20/1980,1980,10,20,0.48,0,66.4055,2,0.912945251,0,0,0,0,0,60.62458585,0,0.408082062,10/20/1980
10/21/1980,1980,10,21,0.48,0,68.603,2,0.836655639,0,0,0,0,0,57.39708677,0,-0.54772926,10/21/1980
10/22/1980,1980,10,22,0.48,0,69.299,2,-0.008851309,0,0,0,0,0,-0.613386883,0,-0.999960826,10/22/1980
10/23/1980,1980,10,23,0.48,0,71.34875,2,-0.846220404,0,0,0,0,0,-60.37676806,0,-0.53283302,10/23/1980
10/24/1980,1980,10,24,0.48,0.000216536,68.70875,2,-0.905578362,0.001385827,0.001385827,0,0,0.014914099,-62.22115728,-0.013505886,0.424179007,10/24/1980
10/25/1980,1980,10,25,0.48,0.000841535,66.041,2,-0.13235175,0.01571604,0.01571604,0,0,0.055575813,-8.740641928,-0.007355556,0.991202812,10/25/1980
10/26/1980,1980,10,26,0.48,4.75723E-05,62.30525,2,0.76255845,0.026297566,0.026297566,0,0,0.002975135,47.5113949,0.002268715,0.646919322,10/26/1980
10/27/1980,1980,10,27,0.48,0,60.0965,2,0.956375928,0.0251496,0.026535427,0,0,0,57.47484598,0,-0.292138809,10/27/1980
10/28/1980,1980,10,28,0.48,0,61.5515,2,0.270905788,0.010819388,0.026535427,0,0,0,16.67465763,0,-0.962605866,10/28/1980
10/29/1980,1980,10,29,0.48,0,66.3095,2,-0.663633884,0.000237861,0.026535427,0,0,0,-44.00523105,0,-0.74805753,10/29/1980
10/30/1980,1980,10,30,0.48,0,66.66725,2,-0.988031624,0,0.026535427,0.001225393,0,0,-65.86935129,0,0.15425145,10/30/1980
10/31/1980,1980,10,31,0.48,0,69.76325,2,-0.404037645,0,0.0251496,0.029409442,0,0,-28.18697926,0,0.914742358,10/31/1980
11/1/1980,1980,11,1,0.48,0,66.665,2,0.841470985,0,0.010819388,0.029409442,0,0,56.0966632,0,0.540302306,11/1/1980
11/2/1980,1980,11,2,0.48,0,67.61,2,0.909297427,0,0.000237861,0.029409442,0,0,61.47759903,0,-0.416146837,11/2/1980
11/3/1980,1980,11,3,0.48,0,66.8585,2,0.141120008,0,0,0.029409442,0,0,9.43507206,0,-0.989992497,11/3/1980
11/4/1980,1980,11,4,0.48,0,70.7135,2,-0.756802495,0,0,0.029409442,0,0,-53.51615325,0,-0.653643621,11/4/1980
11/5/1980,1980,11,5,0.48,0,69.67775,2,-0.958924275,0,0,0.029409442,0,0,-66.81568588,0,0.283662185,11/5/1980
11/6/1980,1980,11,6,0.48,0,64.86275,2,-0.279415498,0,0,0.029409442,0,0,-18.12365761,0,0.960170287,11/6/1980
11/7/1980,1980,11,7,0.48,0,66.329,2,0.656986599,0,0,0.029409442,0,0,43.57726411,0,0.753902254,11/7/1980
11/8/1980,1980,11,8,0.48,0,67.30775,2,0.989358247,0,0,0.029409442,0,0,66.59147753,0,-0.145500034,11/8/1980
11/9/1980,1980,11,9,0.48,4.75721E-05,59.19275,2,0.412118485,0.000428149,0.000428149,0.029837591,0,0.00238774,24.39442647,0.000984032,-0.911130262,11/9/1980
11/10/1980,1980,11,10,0.48,0.000211614,58.01525,2,-0.544021111,0.003786906,0.003786906,0.033196348,0,0.012276839,-31.56152075,-0.00667886,-0.839071529,11/10/1980
11/11/1980,1980,11,11,0.48,0,57.51425,2,-0.999990207,0.006220467,0.006220467,0.033843629,0,0,-57.51368674,0,0.004425698,11/11/1980
11/12/1980,1980,11,12,0.48,0,56.9495,2,-0.536572918,0.005792318,0.006220467,0.032755894,0,0,-30.55755939,0,0.843853959,11/12/1980
11/13/1980,1980,11,13,0.48,0,52.316,2,0.420167037,0.002433561,0.006220467,0.032755894,0,0,21.9814587,0,0.907446781,11/13/1980
11/14/1980,1980,11,14,0.48,0,52.718,2,0.990607356,0,0.006220467,0.032755894,0,0,52.22283858,0,0.136737218,11/14/1980
11/15/1980,1980,11,15,0.48,0,52.196,2,0.65028784,0,0.006220467,0.032755894,0,0,33.94242411,0,-0.759687913,11/15/1980
11/16/1980,1980,11,16,0.48,0,51.39275,2,-0.287903317,0,0.005792318,0.032755894,0,0,-14.79614318,0,-0.95765948,11/16/1980
11/17/1980,1980,11,17,0.48,0,57.16325,2,-0.961397492,0,0.002433561,0.032755894,0,0,-54.95660518,0,-0.275163338,11/17/1980
11/18/1980,1980,11,18,0.48,0,58.10375,2,-0.750987247,0,0,0.032755894,0,0,-43.63517524,0,0.660316708,11/18/1980
11/19/1980,1980,11,19,0.48,0,59.54075,2,0.14987721,0,0,0.032755894,0,0,8.923801471,0,0.988704618,11/19/1980
11/20/1980,1980,11,20,0.48,0,55.8665,2,0.912945251,0,0,0.032755894,0,0,51.00305585,0,0.408082062,11/20/1980
11/21/1980,1980,11,21,0.48,0,58.8485,2,0.836655639,0,0,0.032755894,0,0,49.23592934,0,-0.54772926,11/21/1980
11/22/1980,1980,11,22,0.48,0,60.6275,2,-0.008851309,0,0,0.032755894,0,0,-0.536632754,0,-0.999960826,11/22/1980
11/23/1980,1980,11,23,0.48,0,56.85575,2,-0.846220404,0,0,0.031370067,0,0,-48.11249575,0,-0.53283302,11/23/1980
11/24/1980,1980,11,24,0.48,0,52.301,2,-0.905578362,0,0,0.017039855,0,0,-47.36265391,0,0.424179007,11/24/1980
11/25/1980,1980,11,25,0.48,0,50.89025,2,-0.13235175,0,0,0.006458328,0,0,-6.73541365,0,0.991202812,11/25/1980
11/26/1980,1980,11,26,0.48,0,53.75375,2,0.76255845,0,0,0.006220467,0,0,40.99037631,0,0.646919322,11/26/1980
11/27/1980,1980,11,27,0.48,0,54.932,2,0.956375928,0,0,0.006220467,0,0,52.5356425,0,-0.292138809,11/27/1980
11/28/1980,1980,11,28,0.48,0,55.74575,2,0.270905788,0,0,0.006220467,0,0,15.10184635,0,-0.962605866,11/28/1980
11/29/1980,1980,11,29,0.48,0,55.90925,2,-0.663633884,0,0,0.006220467,0,0,-37.10327274,0,-0.74805753,11/29/1980
11/30/1980,1980,11,30,0.48,0,57.94325,1.125,-0.988031624,0,0,0.006220467,0,0,-57.2497634,0,0.15425145,11/30/1980
12/1/1980,1980,12,1,0.48,0,52.8485,1,0.841470985,0,0,0.006220467,0,0,44.47047934,0,0.540302306,12/1/1980
12/2/1980,1980,12,2,0.48,0.004427493,55.96025,1.333333333,0.909297427,0.024198542,0.024198542,0.030419009,0,0.239748465,50.88451133,0.218002663,-0.416146837,12/2/1980
12/3/1980,1980,12,3,0.48,0.019732612,52.90175,59.66666667,0.141120008,0.329377769,0.329377769,0.335598236,0,1.044544398,7.465495386,0.147406114,-0.989992497,12/3/1980
12/4/1980,1980,12,4,0.48,0.010856299,53.3765,98.875,-0.756802495,0.786995253,0.786995253,0.79321572,0,0.575825798,-40.39546839,-0.435786401,-0.653643621,12/4/1980
12/5/1980,1980,12,5,0.48,0,46.78625,21.875,-0.958924275,0.816195159,0.840393701,0.846614168,0,0,-44.86447085,0,0.283662185,12/5/1980
12/6/1980,1980,12,6,0.48,0,45.374,3.666666667,-0.279415498,0.511015932,0.840393701,0.846614168,0,0,-12.67819882,0,0.960170287,12/6/1980
12/7/1980,1980,12,7,0.48,0,48.03425,1.125,0.656986599,0.053398448,0.840393701,0.846614168,0,0,31.55785853,0,0.753902254,12/7/1980
12/8/1980,1980,12,8,0.48,0,40.217,1,0.989358247,0,0.840393701,0.846614168,0,0,39.7890206,0,-0.145500034,12/8/1980
12/9/1980,1980,12,9,0.48,0,43.20725,1,0.412118485,0,0.816195159,0.846186019,0,0,17.80650642,0,-0.911130262,12/9/1980
12/10/1980,1980,12,10,0.48,0,44.228,1,-0.544021111,0,0.511015932,0.842827262,0,0,-24.06096569,0,-0.839071529,12/10/1980
12/11/1980,1980,12,11,0.48,0,45.257,1,-0.999990207,0,0.053398448,0.840393701,0,0,-45.25655678,0,0.004425698,12/11/1980
12/12/1980,1980,12,12,0.48,0,48.0335,1,-0.536572918,0,0,0.840393701,0,0,-25.77347526,0,0.843853959,12/12/1980
12/13/1980,1980,12,13,0.48,0,49.14275,1,0.420167037,0,0,0.840393701,0,0,20.64816365,0,0.907446781,12/13/1980
12/14/1980,1980,12,14,0.48,0,49.6595,1,0.990607356,0,0,0.840393701,0,0,49.19306598,0,0.136737218,12/14/1980
12/15/1980,1980,12,15,0.48,0,50.4335,1,0.65028784,0,0,0.840393701,0,0,32.79629179,0,-0.759687913,12/15/1980
12/16/1980,1980,12,16,0.48,0,52.59575,1,-0.287903317,0,0,0.840393701,0,0,-15.14249087,0,-0.95765948,12/16/1980
12/17/1980,1980,12,17,0.48,0,55.93475,1,-0.961397492,0,0,0.840393701,0,0,-53.77552836,0,-0.275163338,12/17/1980
12/18/1980,1980,12,18,0.48,0,56.80475,1,-0.750987247,0,0,0.840393701,0,0,-42.65964281,0,0.660316708,12/18/1980
12/19/1980,1980,12,19,0.48,0,53.99525,1,0.14987721,0,0,0.840393701,0,0,8.092657405,0,0.988704618,12/19/1980
12/20/1980,1980,12,20,0.48,0.001669948,56.48375,1.041666667,0.912945251,0.002504921,0.002504921,0.842898622,0,0.110730879,51.56657131,0.10109123,0.408082062,12/20/1980
12/21/1980,1980,12,21,0.48,0.006525591,54.13625,15.45833333,0.836655639,0.09311652,0.09311652,0.933510221,0,0.338335491,45.29339881,0.283070296,-0.54772926,12/21/1980
12/22/1980,1980,12,22,0.48,0.000408465,53.1725,23.125,-0.008851309,0.206033138,0.206033138,1.046426839,0,0.020788397,-0.470646243,-0.000184006,-0.999960826,12/22/1980
12/23/1980,1980,12,23,0.48,0,52.766,4.333333333,-0.846220404,0.203991144,0.206496065,1.046889766,0,0,-44.65166585,0,-0.53283302,12/23/1980
12/24/1980,1980,12,24,0.48,0,52.76525,1.333333333,-0.905578362,0.113379545,0.206496065,1.046889766,0,0,-47.78306867,0,0.424179007,12/24/1980
12/25/1980,1980,12,25,0.48,0,57.43325,1,-0.13235175,0.000462927,0.206496065,1.046889766,0,0,-7.601391151,0,0.991202812,12/25/1980
12/26/1980,1980,12,26,0.48,0,57.52925,1,0.76255845,0,0.206496065,1.046889766,0,0,43.86941574,0,0.646919322,12/26/1980
12/27/1980,1980,12,27,0.48,0,59.276,1,0.956375928,0,0.203991144,1.046889766,0,0,56.69013953,0,-0.292138809,12/27/1980
12/28/1980,1980,12,28,0.48,0,58.03175,1,0.270905788,0,0.113379545,1.046889766,0,0,15.72113698,0,-0.962605866,12/28/1980
12/29/1980,1980,12,29,0.48,0,56.31575,1,-0.663633884,0,0.000462927,1.046889766,0,0,-37.37303992,0,-0.74805753,12/29/1980
12/30/1980,1980,12,30,0.48,0,54.71525,1,-0.988031624,0,0,1.046889766,0,0,-54.06039732,0,0.15425145,12/30/1980
12/31/1980,1980,12,31,0.48,0,53.987,1,-0.404037645,0,0,1.046889766,0,0,-21.81278036,0,0.914742358,12/31/1980
1/1/1981,1981,1,1,0.48,0,54.22475,1,0.841470985,0,0,1.022691224,0,0,45.62855378,0,0.540302306,1/1/1981
1/2/1981,1981,1,2,0.48,0.000113189,54.0725,1,0.909297427,0.001414863,0.001414863,0.71892686,0,0.006120412,49.16798511,0.005565275,-0.416146837,1/2/1981
1/3/1981,1981,1,3,0.48,0.000567585,55.54475,1,0.141120008,0.009030923,0.009030923,0.268925436,0,0.031785204,7.838475568,0.004485528,-0.989992497,1/3/1981
1/4/1981,1981,1,4,0.48,0,53.237,1,-0.756802495,0.016338584,0.016338584,0.222834649,0,0,-40.28989444,0,-0.653643621,1/4/1981
1/5/1981,1981,1,5,0.48,0,52.5965,1,-0.958924275,0.014923722,0.016338584,0.222834649,0,0,-50.43606061,0,0.283662185,1/5/1981
1/6/1981,1981,1,6,0.48,0,52.439,1,-0.279415498,0.007307661,0.016338584,0.222834649,0,0,-14.65226931,0,0.960170287,1/6/1981
1/7/1981,1981,1,7,0.48,0,52.99775,1,0.656986599,0,0.016338584,0.222834649,0,0,34.81881151,0,0.753902254,1/7/1981
1/8/1981,1981,1,8,0.48,0,52.40225,1,0.989358247,0,0.016338584,0.222834649,0,0,51.84459818,0,-0.145500034,1/8/1981
1/9/1981,1981,1,9,0.48,0,52.667,1,0.412118485,0,0.014923722,0.222834649,0,0,21.70504426,0,-0.911130262,1/9/1981
1/10/1981,1981,1,10,0.48,0,52.1345,1,-0.544021111,0,0.007307661,0.222834649,0,0,-28.3622686,0,-0.839071529,1/10/1981
1/11/1981,1981,1,11,0.48,0,53.35475,1,-0.999990207,0,0,0.222834649,0,0,-53.35422747,0,0.004425698,1/11/1981
1/12/1981,1981,1,12,0.48,0,56.99675,1,-0.536572918,0,0,0.222834649,0,0,-30.58291246,0,0.843853959,1/12/1981
1/13/1981,1981,1,13,0.48,0,55.55225,1,0.420167037,0,0,0.222834649,0,0,23.34122427,0,0.907446781,1/13/1981
1/14/1981,1981,1,14,0.48,0,57.176,1,0.990607356,0,0,0.222834649,0,0,56.63896617,0,0.136737218,1/14/1981
1/15/1981,1981,1,15,0.48,0.000324803,60.4955,1,0.65028784,0.004060038,0.004060038,0.226894687,0,0.01964912,39.33948803,0.012777584,-0.759687913,1/15/1981
1/16/1981,1981,1,16,0.48,0.001377953,61.28,1,-0.287903317,0.027890416,0.027890416,0.250725065,0,0.080133464,-17.64271524,-0.02307069,-0.95765948,1/16/1981
1/17/1981,1981,1,17,0.48,0,58.4015,1,-0.961397492,0.040866138,0.040866138,0.263700787,0,0,-56.14705562,0,-0.275163338,1/17/1981
1/18/1981,1981,1,18,0.48,0,60.4205,1,-0.750987247,0.036806101,0.040866138,0.263700787,0,0,-45.37502495,0,0.660316708,1/18/1981
1/19/1981,1981,1,19,0.48,0,60.22775,1,0.14987721,0.012975722,0.040866138,0.261195866,0,0,9.026767115,0,0.988704618,1/19/1981
1/20/1981,1981,1,20,0.48,0,57.56525,1,0.912945251,0,0.040866138,0.170584267,0,0,52.55392159,0,0.408082062,1/20/1981
1/21/1981,1981,1,21,0.48,0.005953084,63.476,4.708333333,0.836655639,0.07441355,0.115279688,0.132081199,0,0.37787796,53.10755331,0.316153726,-0.54772926,1/21/1981
1/22/1981,1981,1,22,0.48,0.026938976,57.959,68.95833333,-0.008851309,0.378330661,0.415136762,0.435535383,0,1.492563862,-0.513013035,-0.013211144,-0.999960826,1/22/1981
1/23/1981,1981,1,23,0.48,0.016866798,53.078,141.8333333,-0.846220404,1.039364168,1.052339889,1.09656889,0,0.8815375,-44.91568661,-0.745975019,-0.53283302,1/23/1981
1/24/1981,1981,1,24,0.48,0.000275595,52.21625,44.33333333,-0.905578362,1.124379836,1.198793386,1.255998108,0,0.014207027,-47.28590615,-0.012865576,0.424179007,1/24/1981
1/25/1981,1981,1,25,0.48,0.004816273,47.97875,28.5,-0.13235175,0.935678624,1.314009286,1.371214008,0,0.275100698,-6.35007153,-0.036410059,0.991202812,1/25/1981
1/26/1981,1981,1,26,0.48,0.028464567,43.9625,72.29166667,0.76255845,0.546829374,1.586193541,1.643398263,0,1.114272662,33.52397588,0.849698034,0.646919322,1/26/1981
1/27/1981,1981,1,27,0.48,0.043061024,46.26875,218.9166667,0.956375928,1.37619869,2.574992077,2.632196799,0,1.961129379,44.25031874,1.875576931,-0.292138809,1/27/1981
1/28/1981,1981,1,28,0.48,0.018717192,51.59075,166.2916667,0.270905788,1.984963832,3.224559568,3.35617784,0,0.95835737,13.9762328,0.259624559,-0.962605866,1/28/1981
1/29/1981,1981,1,29,0.48,0.005984252,50.52875,90.54166667,-0.663633884,1.9937989,3.201661779,3.637197163,0,0.297867174,-33.53259063,-0.19767475,-0.74805753,1/29/1981
1/30/1981,1981,1,30,0.48,3.27869E-05,48.7475,37.41666667,-0.988031624,1.051471364,2.587099273,3.683668162,0,0.001589014,-48.1640716,-0.001569996,0.15425145,1/30/1981
1/31/1981,1981,1,31,0.48,0,46.4705,22.125,-0.404037645,0.327680008,2.42785974,3.683857848,0,0,-18.7758314,0,0.914742358,1/31/1981
2/1/1981,1981,2,1,0.48,0,43.9055,16.625,0.841470985,0.046660685,2.312643841,3.682442986,0,0,36.94520432,0,0.540302306,2/1/1981
2/2/1981,1981,2,2,0.48,0,47.51,12.54166667,0.909297427,0.000189686,2.040459585,3.674826925,0,0,43.20072075,0,-0.416146837,2/2/1981
2/3/1981,1981,2,3,0.48,0,49.16225,9.208333333,0.141120008,6.95E-17,1.051661049,3.667519264,0,0,6.937777116,0,-0.989992497,2/3/1981
2/4/1981,1981,2,4,0.48,0,49.586,6.708333333,-0.756802495,6.95E-17,0.327680008,3.667519264,0,0,-37.52680853,0,-0.653643621,2/4/1981
2/5/1981,1981,2,5,0.48,0,49.8395,4.958333333,-0.958924275,6.95E-17,0.046660685,3.667519264,0,0,-47.79230639,0,0.283662185,2/5/1981
2/6/1981,1981,2,6,0.48,0,48.251,3.791666667,-0.279415498,6.95E-17,0.000189686,3.667519264,0,0,-13.4820772,0,0.960170287,2/6/1981
2/7/1981,1981,2,7,0.48,0.00128937,50.29325,3,0.656986599,0.016117125,0.016117125,3.683636389,0,0.064846608,33.04199126,0.042603352,0.753902254,2/7/1981
2/8/1981,1981,2,8,0.48,0.005434711,52.37525,10.83333333,0.989358247,0.094953702,0.094953702,3.762472966,0,0.265434403,51.81788551,0.262609715,-0.145500034,2/8/1981
2/9/1981,1981,2,9,0.48,0.001856955,52.661,15.91666667,0.412118485,0.192842305,0.192842305,3.860361569,0,0.096574325,21.70257155,0.039800065,-0.911130262,2/9/1981
2/10/1981,1981,2,10,0.48,0.000482283,54.1925,5.5,-0.544021111,0.195856291,0.211973416,3.87949268,0,0.026136121,-29.48186405,-0.014218602,-0.839071529,2/10/1981
2/11/1981,1981,2,11,0.48,0.00159941,56.09675,4.541666667,-0.999990207,0.140873495,0.235827197,3.903346461,0,0.083276626,-56.09620062,-0.08327581,0.004425698,2/11/1981
2/12/1981,1981,2,12,0.48,0.004265092,55.54775,15.91666667,-0.536572918,0.116376843,0.309219148,3.976738412,0,0.236916264,-29.80541831,-0.127122851,0.843853959,2/12/1981
2/13/1981,1981,2,13,0.48,0.004747375,57.19325,34.41666667,0.420167037,0.188057432,0.400030848,4.067550112,0,0.25855547,24.03071838,0.108636486,0.907446781,2/13/1981
2/14/1981,1981,2,14,0.48,0.001427165,59.89025,36.75,0.990607356,0.259747349,0.47945742,4.159033772,0,0.082081281,59.32772218,0.08131032,0.136737218,2/14/1981
2/15/1981,1981,2,15,0.48,0,57.33275,18.375,0.65028784,0.197237534,0.411502981,4.14608553,0,0,37.28279017,0,-0.759687913,2/15/1981
2/16/1981,1981,2,16,0.48,0,56.20025,12.45833333,-0.287903317,0.106425834,0.313614377,4.133109808,0,0,-16.18023837,0,-0.95765948,2/16/1981
2/17/1981,1981,2,17,0.48,0,59.73575,9.625,-0.961397492,0.010882137,0.294483267,4.133109808,0,0,-57.42980023,0,-0.275163338,2/17/1981
2/18/1981,1981,2,18,0.48,0,56.55875,7.375,-0.750987247,6.59E-17,0.270629485,4.133109808,0,0,-42.47489994,0,0.660316708,2/18/1981
2/19/1981,1981,2,19,0.48,0,60.11225,5.625,0.14987721,6.59E-17,0.197237534,4.133109808,0,0,9.009456297,0,0.988704618,2/19/1981
2/20/1981,1981,2,20,0.48,0,51.37775,4.416666667,0.912945251,6.59E-17,0.106425834,4.058696258,0,0,46.90507286,0,0.408082062,2/20/1981
2/21/1981,1981,2,21,0.48,0,46.91525,3.625,0.836655639,6.59E-17,0.010882137,3.754779147,0,0,39.25190845,0,-0.54772926,2/21/1981
2/22/1981,1981,2,22,0.48,0,55.9805,3,-0.008851309,6.59E-17,-3.01E-18,3.09374564,0,0,-0.49550072,0,-0.999960826,2/22/1981
2/23/1981,1981,2,23,0.48,0.00042979,59.981,3,-0.846220404,0.005372375,0.005372375,2.939688797,0,0.025779234,-50.75714606,-0.021814914,-0.53283302,2/23/1981
2/24/1981,1981,2,24,0.48,0.001856955,54.032,2,-0.905578362,0.03174732,0.03174732,2.850847842,0,0.094977232,-48.93021006,-0.086009326,0.424179007,2/24/1981
2/25/1981,1981,2,25,0.48,0.000825131,49.42775,2,-0.13235175,0.067456889,0.067456889,2.614373156,0,0.041433603,-6.541849216,-0.00548381,0.991202812,2/25/1981
2/26/1981,1981,2,26,0.48,0.000567585,49.06475,2,0.76255845,0.075309327,0.080681702,1.638799433,0,0.029619023,37.41473973,0.022586236,0.646919322,2/26/1981
2/27/1981,1981,2,27,0.48,0.001856955,50.90225,2,0.956375928,0.067460785,0.099208105,0.933344795,0,0.103316667,48.6816866,0.098809573,-0.292138809,2/27/1981
2/28/1981,1981,2,28,0.48,0.002116142,49.84475,2.083333333,0.270905788,0.073471101,0.14092799,0.694045358,0,0.10941716,13.50323129,0.029641742,-0.962605866,2/28/1981
3/1/1981,1981,3,1,0.48,0.007514764,51.46475,25.875,0.841470985,0.204159162,0.284840864,0.791487232,0,0.388793207,43.30609386,0.327158203,0.540302306,3/1/1981
3/2/1981,1981,3,2,0.48,0.004598097,55.8695,36.25,0.909297427,0.338784627,0.432620357,0.944449414,0,0.243716259,50.80199259,0.221610568,-0.416146837,3/2/1981
3/3/1981,1981,3,3,0.48,0.005241142,55.45025,23.29166667,0.141120008,0.398956368,0.508137038,1.04634104,0,0.290622634,7.825139727,0.041012669,-0.989992497,3/3/1981
3/4/1981,1981,3,4,0.48,0.020864501,51.0185,186.3333333,-0.756802495,0.568802366,0.786186341,1.360099912,0,0.955992224,-38.61092811,-0.723497301,-0.653643621,3/4/1981
3/5/1981,1981,3,5,0.48,0.003131562,50.63225,137.375,-0.958924275,0.720629066,1.077940097,1.665078481,0,0.15581874,-48.55249361,-0.149418372,0.283662185,3/5/1981
3/6/1981,1981,3,6,0.48,0,52.3625,40.58333333,-0.279415498,0.636178647,1.0768549,1.682519687,0,0,-14.63089403,0,0.960170287,3/6/1981
3/7/1981,1981,3,7,0.48,0,55.51175,21.25,0.656986599,0.322419775,1.035135015,1.682519687,0,0,36.47047582,0,0.753902254,3/7/1981
3/8/1981,1981,3,8,0.48,0,54.1595,15.875,0.989358247,0.017441206,0.891222141,1.682519687,0,0,53.58314796,0,-0.145500034,3/8/1981
3/9/1981,1981,3,9,0.48,0,57.9875,12.16666667,0.412118485,6.74E-17,0.738070273,1.666402562,0,0,23.89772066,0,-0.911130262,3/9/1981
3/10/1981,1981,3,10,0.48,0,57.66275,9.125,-0.544021111,6.74E-17,0.636178647,1.587565986,0,0,-31.36975331,0,-0.839071529,3/10/1981
3/11/1981,1981,3,11,0.48,0,59.04425,6.958333333,-0.999990207,6.74E-17,0.322419775,1.489677382,0,0,-59.04367175,0,0.004425698,3/11/1981
3/12/1981,1981,3,12,0.48,0.001829068,58.8215,5.458333333,-0.536572918,0.009145341,0.026586548,1.479691613,0,0.118121228,-31.5620239,-0.063380652,0.843853959,3/12/1981
3/13/1981,1981,3,13,0.48,0.006955381,53.93825,22.875,0.420167037,0.15701409,0.15701409,1.603706581,0,0.356862274,22.66307467,0.149941764,0.907446781,3/13/1981
3/14/1981,1981,3,14,0.48,0.002801837,51.7025,12.79166667,0.990607356,0.22535723,0.22535723,1.598657769,0,0.140216968,51.21687681,0.13889996,0.136737218,3/14/1981
3/15/1981,1981,3,15,0.48,0.011107284,49.93025,19,0.65028784,0.339401564,0.348546905,1.631035745,0,0.573063341,32.46903443,0.372656122,-0.759687913,3/15/1981
3/16/1981,1981,3,16,0.48,0.001665026,53.83025,48.04166667,-0.287903317,0.420276186,0.577290277,1.764235418,0,0.086523846,-15.49790751,-0.024910502,-0.95765948,3/16/1981
3/17/1981,1981,3,17,0.48,0.001136811,49.1585,10.125,-0.961397492,0.366069937,0.591427167,1.767490172,0,0.060401044,-47.2608586,-0.058069412,-0.275163338,3/17/1981
